Latitude,Longitude,Zipcode
39.9698492682927,-75.1696490964674,19130
39.9698492682927,-75.1606344361413,19130
39.9698492682927,-75.1516197758152,19123
39.9698492682927,-75.1426051154891,19130
39.9698492682927,-75.133590455163,19125
39.9698492682927,-75.1245757948369,19125
39.9698492682927,-75.1155611345109,19125
39.960836097561,-75.2417663790761,19151
39.960836097561,-75.23275171875,19139
39.960836097561,-75.2237370584239,19139
39.960836097561,-75.2147223980978,19131
39.960836097561,-75.2057077377717,19104
39.960836097561,-75.1966930774456,19104
39.960836097561,-75.1876784171196,19104
39.960836097561,-75.1786637567935,19130
39.960836097561,-75.1696490964674,19130
39.960836097561,-75.1606344361413,19103
39.960836097561,-75.1516197758152,19123
39.960836097561,-75.1426051154891,19123
39.960836097561,-75.133590455163,19123
39.9518229268293,-75.2507810394022,19082
39.9518229268293,-75.2417663790761,19143
39.9518229268293,-75.23275171875,19143
39.9518229268293,-75.2237370584239,19143
39.9518229268293,-75.2147223980978,19139
39.9518229268293,-75.2057077377717,19125
39.9518229268293,-75.1966930774456,19104
39.9518229268293,-75.1876784171196,19104-2989
39.9518229268293,-75.1786637567935,19103
39.9518229268293,-75.1696490964674,19103
39.9518229268293,-75.1606344361413,19107
39.9518229268293,-75.1516197758152,19106
39.9518229268293,-75.1426051154891,19106
39.9428097560976,-75.2417663790761,19142
39.9428097560976,-75.23275171875,19143
39.9428097560976,-75.2237370584239,19143
39.9428097560976,-75.2147223980978,19143
39.9428097560976,-75.2057077377717,19104
39.9428097560976,-75.1966930774456,19146
39.9428097560976,-75.1876784171196,19146
39.9428097560976,-75.1786637567935,19146
39.9428097560976,-75.1696490964674,19146
39.9428097560976,-75.1606344361413,19147
39.9428097560976,-75.1516197758152,19146
39.9428097560976,-75.1426051154891,19106
39.9337965853659,-75.23275171875,19142
39.9337965853659,-75.2237370584239,19143
39.9337965853659,-75.2147223980978,19143
39.9337965853659,-75.2057077377717,19143
39.9337965853659,-75.1966930774456,19145
39.9337965853659,-75.1876784171196,19146
39.9337965853659,-75.1786637567935,19146
39.9337965853659,-75.1696490964674,19148-9996
39.9337965853659,-75.1606344361413,19147
39.9337965853659,-75.1516197758152,19147
39.9337965853659,-75.1426051154891,19147
39.9247834146341,-75.2417663790761,19142
39.9247834146341,-75.23275171875,19142
39.9247834146341,-75.2237370584239,19142
39.9247834146341,-75.2147223980978,19153
39.9247834146341,-75.2057077377717,19145
39.9247834146341,-75.1966930774456,19145
39.9247834146341,-75.1876784171196,19145
39.9247834146341,-75.1786637567935,19145
39.9247834146341,-75.1696490964674,19145
39.9247834146341,-75.1606344361413,19148
39.9247834146341,-75.1516197758152,19148
39.9247834146341,-75.1426051154891,19148
39.9157702439024,-75.2417663790761,19142
39.9157702439024,-75.23275171875,19142
39.9157702439024,-75.2237370584239,19153
39.9157702439024,-75.2147223980978,19142
39.9157702439024,-75.2057077377717,19145
39.9157702439024,-75.1966930774456,19145
39.9157702439024,-75.1876784171196,19145
39.9157702439024,-75.1786637567935,19145
39.9157702439024,-75.1696490964674,19148
39.9157702439024,-75.1606344361413,19148
39.9157702439024,-75.1516197758152,19148
39.9157702439024,-75.1426051154891,19148
39.9157702439024,-75.133590455163,19148
39.9067570731707,-75.2507810394022,19153
39.9067570731707,-75.2417663790761,19153
39.9067570731707,-75.23275171875,19153
39.9067570731707,-75.2237370584239,19153
39.9067570731707,-75.2147223980978,19153
39.9067570731707,-75.2057077377717,19112
39.9067570731707,-75.1966930774456,19112
39.9067570731707,-75.1876784171196,19145
39.9067570731707,-75.1786637567935,19145
39.9067570731707,-75.1696490964674,19112
39.9067570731707,-75.1606344361413,19148
39.9067570731707,-75.1516197758152,19148
39.9067570731707,-75.1426051154891,19148
39.9067570731707,-75.133590455163,19148
39.897743902439,-75.2507810394022,19153
39.897743902439,-75.2417663790761,19153
39.897743902439,-75.23275171875,19153
39.897743902439,-75.2237370584239,19153
39.897743902439,-75.2147223980978,19153
39.897743902439,-75.2057077377717,19112
39.897743902439,-75.1966930774456,19112
39.897743902439,-75.1876784171196,19112
39.897743902439,-75.1786637567935,19112
39.897743902439,-75.1696490964674,19112
39.897743902439,-75.1606344361413,19112
39.897743902439,-75.1516197758152,19112
39.897743902439,-75.1426051154891,19148
39.897743902439,-75.133590455163,08030
39.8887307317073,-75.2597956997283,19032
39.8887307317073,-75.2507810394022,19153
39.8887307317073,-75.2417663790761,19153
39.8887307317073,-75.23275171875,19153
39.8887307317073,-75.2237370584239,19153
39.8887307317073,-75.2147223980978,19153
39.8887307317073,-75.2057077377717,19112
39.8887307317073,-75.1966930774456,19112
39.8887307317073,-75.1876784171196,19112
39.8887307317073,-75.1786637567935,19112
39.8887307317073,-75.1696490964674,19112
39.8887307317073,-75.1606344361413,19112
39.8887307317073,-75.1516197758152,19112
39.8887307317073,-75.1426051154891,19112
39.8797175609756,-75.2597956997283,19113
39.8797175609756,-75.2507810394022,19113
39.8797175609756,-75.2417663790761,19153
39.8797175609756,-75.23275171875,19113
39.8797175609756,-75.2237370584239,19153
39.8797175609756,-75.2147223980978,19153
39.8797175609756,-75.2057077377717,08063
39.8797175609756,-75.1966930774456,08063
39.8707043902439,-75.2147223980978,08063
