"Dates","PM2.5","Year","Month","State"
"8-2010",13.0160884857178,2010,"Aug","PA"
"9-2010",9.88040447235107,2010,"Sept","PA"
"10-2010",7.24512243270874,2010,"Oct","PA"
"11-2010",9.1640510559082,2010,"Nov","PA"
"12-2010",12.8126192092896,2010,"Dec","PA"
"1-2011",16.9280052185059,2011,"Jan","PA"
"2-2011",12.2447576522827,2011,"Feb","PA"
"3-2011",7.45189905166626,2011,"Mar","PA"
"4-2011",9.4215087890625,2011,"Apr","PA"
"5-2011",10.0725173950195,2011,"May","PA"
"6-2011",14.4772872924805,2011,"June","PA"
"7-2011",16.1867084503174,2011,"Jul","PA"
"8-2011",9.89515113830566,2011,"Aug","PA"
"9-2011",9.06673431396484,2011,"Sept","PA"
"10-2011",8.00690078735352,2011,"Oct","PA"
"11-2011",10.1019353866577,2011,"Nov","PA"
"12-2011",10.9679536819458,2011,"Dec","PA"
"1-2012",9.30875968933105,2012,"Jan","PA"
"2-2012",11.2282075881958,2012,"Feb","PA"
"3-2012",9.43422031402588,2012,"Mar","PA"
"4-2012",7.20733690261841,2012,"Apr","PA"
"5-2012",9.47204780578613,2012,"May","PA"
"6-2012",10.0770015716553,2012,"June","PA"
"7-2012",11.5596551895142,2012,"Jul","PA"
"8-2012",11.5473175048828,2012,"Aug","PA"
"9-2012",8.60401916503906,2012,"Sept","PA"
"10-2012",9.33967590332031,2012,"Oct","PA"
"11-2012",12.2616367340088,2012,"Nov","PA"
"12-2012",11.7129602432251,2012,"Dec","PA"
"1-2013",14.9866180419922,2013,"Jan","PA"
"2-2013",10.8989944458008,2013,"Feb","PA"
"3-2013",7.08237409591675,2013,"Mar","PA"
"4-2013",8.02606010437012,2013,"Apr","PA"
"5-2013",8.6025915145874,2013,"May","PA"
"6-2013",8.36136817932129,2013,"June","PA"
"7-2013",12.5836143493652,2013,"Jul","PA"
"8-2013",10.8837327957153,2013,"Aug","PA"
"9-2013",8.89284038543701,2013,"Sept","PA"
"10-2013",9.96608829498291,2013,"Oct","PA"
"11-2013",7.40053033828735,2013,"Nov","PA"
"12-2013",15.0476446151733,2013,"Dec","PA"
"1-2014",14.9847869873047,2014,"Jan","PA"
"2-2014",17.443452835083,2014,"Feb","PA"
"3-2014",11.750771522522,2014,"Mar","PA"
"4-2014",6.11453437805176,2014,"Apr","PA"
"5-2014",10.2005910873413,2014,"May","PA"
"6-2014",9.69743537902832,2014,"June","PA"
"7-2014",11.3509654998779,2014,"Jul","PA"
"8-2014",10.8402147293091,2014,"Aug","PA"
"9-2014",11.0571231842041,2014,"Sept","PA"
"10-2014",8.96133804321289,2014,"Oct","PA"
"11-2014",11.8667020797729,2014,"Nov","PA"
"12-2014",14.0170793533325,2014,"Dec","PA"
"1-2015",12.5380296707153,2015,"Jan","PA"
"2-2015",13.0657939910889,2015,"Feb","PA"
"3-2015",12.1866426467896,2015,"Mar","PA"
"4-2015",7.66247987747192,2015,"Apr","PA"
"5-2015",11.3760299682617,2015,"May","PA"
"6-2015",10.4217491149902,2015,"June","PA"
"7-2015",13.8700923919678,2015,"Jul","PA"
"8-2015",9.02624416351318,2015,"Aug","PA"
"9-2015",9.98845958709717,2015,"Sept","PA"
"10-2015",7.01077079772949,2015,"Oct","PA"
"11-2015",9.25626659393311,2015,"Nov","PA"
"12-2015",13.3501014709473,2015,"Dec","PA"
"1-2016",12.7643823623657,2016,"Jan","PA"
"2-2016",9.35328483581543,2016,"Feb","PA"
"3-2016",10.1997022628784,2016,"Mar","PA"
"4-2016",7.51533508300781,2016,"Apr","PA"
"5-2016",8.81368446350098,2016,"May","PA"
"6-2016",9.48982238769531,2016,"June","PA"
"7-2016",10.2130365371704,2016,"Jul","PA"
"8-2016",8.83778667449951,2016,"Aug","PA"
"9-2016",7.47651147842407,2016,"Sept","PA"
"10-2016",7.05924797058105,2016,"Oct","PA"
"11-2016",10.7879648208618,2016,"Nov","PA"
"12-2016",10.1271095275879,2016,"Dec","PA"
"1-2017",10.8612461090088,2017,"Jan","PA"
"2-2017",11.6008205413818,2017,"Feb","PA"
"3-2017",8.50103664398193,2017,"Mar","PA"
"4-2017",7.27173805236816,2017,"Apr","PA"
"5-2017",7.33614683151245,2017,"May","PA"
"6-2017",11.4690351486206,2017,"June","PA"
"7-2017",10.1133251190186,2017,"Jul","PA"
"8-2017",10.5152053833008,2017,"Aug","PA"
"9-2017",10.7236700057983,2017,"Sept","PA"
"10-2017",8.98254871368408,2017,"Oct","PA"
"11-2017",10.4473028182983,2017,"Nov","PA"
"12-2017",11.0538082122803,2017,"Dec","PA"
"1-2007",16.4692649841309,2007,"Jan","NY"
"2-2007",17.8955078125,2007,"Feb","NY"
"3-2007",16.7050800323486,2007,"Mar","NY"
"4-2007",13.0213489532471,2007,"Apr","NY"
"5-2007",11.6068496704102,2007,"May","NY"
"6-2007",17.9332275390625,2007,"June","NY"
"7-2007",17.9173316955566,2007,"Jul","NY"
"8-2007",18.5229206085205,2007,"Aug","NY"
"9-2007",11.4304475784302,2007,"Sept","NY"
"10-2007",12.5816602706909,2007,"Oct","NY"
"11-2007",13.4332456588745,2007,"Nov","NY"
"12-2007",17.5454730987549,2007,"Dec","NY"
"1-2008",15.4991369247437,2008,"Jan","NY"
"2-2008",18.7021751403809,2008,"Feb","NY"
"3-2008",13.2668342590332,2008,"Mar","NY"
"4-2008",10.6661815643311,2008,"Apr","NY"
"5-2008",12.0790901184082,2008,"May","NY"
"6-2008",18.8327865600586,2008,"June","NY"
"7-2008",19.9020824432373,2008,"Jul","NY"
"8-2008",9.97813510894775,2008,"Aug","NY"
"9-2008",9.51886367797852,2008,"Sept","NY"
"10-2008",9.89731216430664,2008,"Oct","NY"
"11-2008",9.71545600891113,2008,"Nov","NY"
"12-2008",9.77193641662598,2008,"Dec","NY"
"1-2009",13.5792236328125,2009,"Jan","NY"
"2-2009",10.7005367279053,2009,"Feb","NY"
"3-2009",13.4463043212891,2009,"Mar","NY"
"4-2009",11.6476945877075,2009,"Apr","NY"
"5-2009",12.4829835891724,2009,"May","NY"
"6-2009",9.75006675720215,2009,"June","NY"
"7-2009",10.8445491790771,2009,"Jul","NY"
"8-2009",13.8770990371704,2009,"Aug","NY"
"9-2009",6.99909067153931,2009,"Sept","NY"
"10-2009",8.0966854095459,2009,"Oct","NY"
"11-2009",10.5749940872192,2009,"Nov","NY"
"12-2009",9.22143077850342,2009,"Dec","NY"
"1-2010",12.086895942688,2010,"Jan","NY"
"2-2010",10.4947271347046,2010,"Feb","NY"
"3-2010",7.95179319381714,2010,"Mar","NY"
"4-2010",9.81682968139648,2010,"Apr","NY"
"5-2010",11.1395387649536,2010,"May","NY"
"6-2010",12.8098297119141,2010,"June","NY"
"7-2010",13.3748540878296,2010,"Jul","NY"
"8-2010",10.4837274551392,2010,"Aug","NY"
"9-2010",9.88902378082275,2010,"Sept","NY"
"10-2010",8.85075092315674,2010,"Oct","NY"
"11-2010",7.9026894569397,2010,"Nov","NY"
"12-2010",13.1181812286377,2010,"Dec","NY"
"1-2011",14.1605815887451,2011,"Jan","NY"
"2-2011",15.1222324371338,2011,"Feb","NY"
"3-2011",6.61599254608154,2011,"Mar","NY"
"4-2011",9.0376033782959,2011,"Apr","NY"
"5-2011",13.0189809799194,2011,"May","NY"
"6-2011",11.5391817092896,2011,"June","NY"
"7-2011",15.8891973495483,2011,"Jul","NY"
"8-2011",10.8506021499634,2011,"Aug","NY"
"9-2011",10.6741552352905,2011,"Sept","NY"
"10-2011",9.16990280151367,2011,"Oct","NY"
"11-2011",12.0632276535034,2011,"Nov","NY"
"12-2011",10.6801700592041,2011,"Dec","NY"
"1-2012",10.5175933837891,2012,"Jan","NY"
"2-2012",10.9978523254395,2012,"Feb","NY"
"3-2012",11.359278678894,2012,"Mar","NY"
"4-2012",7.07381057739258,2012,"Apr","NY"
"5-2012",10.4577531814575,2012,"May","NY"
"6-2012",9.97482013702393,2012,"June","NY"
"7-2012",11.619647026062,2012,"Jul","NY"
"8-2012",10.7893047332764,2012,"Aug","NY"
"9-2012",7.95686864852905,2012,"Sept","NY"
"10-2012",11.6609315872192,2012,"Oct","NY"
"11-2012",12.9954795837402,2012,"Nov","NY"
"12-2012",13.2191686630249,2012,"Dec","NY"
"1-2013",12.9231996536255,2013,"Jan","NY"
"2-2013",12.8897552490234,2013,"Feb","NY"
"3-2013",6.12527704238892,2013,"Mar","NY"
"4-2013",8.23557281494141,2013,"Apr","NY"
"5-2013",10.1419677734375,2013,"May","NY"
"6-2013",10.983585357666,2013,"June","NY"
"7-2013",11.345311164856,2013,"Jul","NY"
"8-2013",9.56246852874756,2013,"Aug","NY"
"9-2013",8.34003639221191,2013,"Sept","NY"
"10-2013",11.5845975875854,2013,"Oct","NY"
"11-2013",6.99110174179077,2013,"Nov","NY"
"12-2013",12.9005270004272,2013,"Dec","NY"
"1-2014",13.7719373703003,2014,"Jan","NY"
"2-2014",15.8280668258667,2014,"Feb","NY"
"3-2014",9.4656343460083,2014,"Mar","NY"
"4-2014",8.59662914276123,2014,"Apr","NY"
"5-2014",9.50613498687744,2014,"May","NY"
"6-2014",9.36047172546387,2014,"June","NY"
"7-2014",10.1513252258301,2014,"Jul","NY"
"8-2014",8.29688167572021,2014,"Aug","NY"
"9-2014",10.0713901519775,2014,"Sept","NY"
"10-2014",6.97889852523804,2014,"Oct","NY"
"11-2014",8.66648006439209,2014,"Nov","NY"
"12-2014",9.1570348739624,2014,"Dec","NY"
"1-2015",12.6202764511108,2015,"Jan","NY"
"2-2015",12.568699836731,2015,"Feb","NY"
"3-2015",12.9164981842041,2015,"Mar","NY"
"4-2015",7.14250516891479,2015,"Apr","NY"
"5-2015",10.9046716690063,2015,"May","NY"
"6-2015",11.3508911132812,2015,"June","NY"
"7-2015",12.7503252029419,2015,"Jul","NY"
"8-2015",9.91114234924316,2015,"Aug","NY"
"9-2015",9.71132755279541,2015,"Sept","NY"
"10-2015",7.29998064041138,2015,"Oct","NY"
"11-2015",8.36200714111328,2015,"Nov","NY"
"12-2015",12.2545490264893,2015,"Dec","NY"
"1-2016",9.48289775848389,2016,"Jan","NY"
"2-2016",8.60573196411133,2016,"Feb","NY"
"3-2016",8.99220848083496,2016,"Mar","NY"
"4-2016",6.23717355728149,2016,"Apr","NY"
"5-2016",8.81693553924561,2016,"May","NY"
"6-2016",8.69325351715088,2016,"June","NY"
"7-2016",8.56586933135986,2016,"Jul","NY"
"8-2016",8.50370407104492,2016,"Aug","NY"
"9-2016",6.40553617477417,2016,"Sept","NY"
"10-2016",8.74644374847412,2016,"Oct","NY"
"11-2016",7.69936513900757,2016,"Nov","NY"
"12-2016",9.87947654724121,2016,"Dec","NY"
"1-2017",9.150465965271,2017,"Jan","NY"
"2-2017",9.4252405166626,2017,"Feb","NY"
"3-2017",6.01156187057495,2017,"Mar","NY"
"4-2017",6.79859828948975,2017,"Apr","NY"
"5-2017",6.57082891464233,2017,"May","NY"
"6-2017",8.77526187896729,2017,"June","NY"
"7-2017",8.09415054321289,2017,"Jul","NY"
"8-2017",8.003249168396,2017,"Aug","NY"
"9-2017",8.89173889160156,2017,"Sept","NY"
"10-2017",7.0099048614502,2017,"Oct","NY"
"11-2017",8.4228515625,2017,"Nov","NY"
"12-2017",10.6432056427002,2017,"Dec","NY"
"1-2007",14.5588417053223,2007,"Jan","CA"
"2-2007",13.9603796005249,2007,"Feb","CA"
"3-2007",14.7630195617676,2007,"Mar","CA"
"4-2007",14.0294513702393,2007,"Apr","CA"
"5-2007",15.5925588607788,2007,"May","CA"
"6-2007",14.4304189682007,2007,"June","CA"
"7-2007",15.6750640869141,2007,"Jul","CA"
"8-2007",13.7195606231689,2007,"Aug","CA"
"9-2007",11.3584184646606,2007,"Sept","CA"
"10-2007",15.872166633606,2007,"Oct","CA"
"11-2007",28.3472023010254,2007,"Nov","CA"
"12-2007",14.6469717025757,2007,"Dec","CA"
"1-2008",12.1598100662231,2008,"Jan","CA"
"2-2008",13.3743658065796,2008,"Feb","CA"
"3-2008",13.5907545089722,2008,"Mar","CA"
"4-2008",11.4652843475342,2008,"Apr","CA"
"5-2008",12.1458950042725,2008,"May","CA"
"6-2008",15.0520267486572,2008,"June","CA"
"7-2008",18.0494232177734,2008,"Jul","CA"
"8-2008",13.3544120788574,2008,"Aug","CA"
"9-2008",14.6994791030884,2008,"Sept","CA"
"10-2008",14.0330963134766,2008,"Oct","CA"
"11-2008",17.7884578704834,2008,"Nov","CA"
"12-2008",16.3535537719727,2008,"Dec","CA"
"1-2009",16.8456115722656,2009,"Jan","CA"
"2-2009",11.4106950759888,2009,"Feb","CA"
"3-2009",15.7851428985596,2009,"Mar","CA"
"4-2009",12.3029718399048,2009,"Apr","CA"
"5-2009",16.7284927368164,2009,"May","CA"
"6-2009",12.5275793075562,2009,"June","CA"
"7-2009",14.4152603149414,2009,"Jul","CA"
"8-2009",16.8018760681152,2009,"Aug","CA"
"9-2009",15.3375339508057,2009,"Sept","CA"
"10-2009",12.5239963531494,2009,"Oct","CA"
"11-2009",17.4197731018066,2009,"Nov","CA"
"12-2009",18.318416595459,2009,"Dec","CA"
"1-2010",13.7288589477539,2010,"Jan","CA"
"2-2010",11.893874168396,2010,"Feb","CA"
"3-2010",8.97979164123535,2010,"Mar","CA"
"4-2010",10.2948942184448,2010,"Apr","CA"
"5-2010",10.408260345459,2010,"May","CA"
"6-2010",12.8995304107666,2010,"June","CA"
"7-2010",12.023717880249,2010,"Jul","CA"
"8-2010",10.9942474365234,2010,"Aug","CA"
"9-2010",12.0433874130249,2010,"Sept","CA"
"10-2010",11.536376953125,2010,"Oct","CA"
"11-2010",10.9847974777222,2010,"Nov","CA"
"12-2010",14.5053987503052,2010,"Dec","CA"
"1-2011",12.9273548126221,2011,"Jan","CA"
"2-2011",10.8842306137085,2011,"Feb","CA"
"3-2011",8.99624824523926,2011,"Mar","CA"
"4-2011",8.90996265411377,2011,"Apr","CA"
"5-2011",9.50315952301025,2011,"May","CA"
"6-2011",10.1407947540283,2011,"June","CA"
"7-2011",11.0905933380127,2011,"Jul","CA"
"8-2011",11.8242330551147,2011,"Aug","CA"
"9-2011",14.4937143325806,2011,"Sept","CA"
"10-2011",15.9587125778198,2011,"Oct","CA"
"11-2011",13.8915576934814,2011,"Nov","CA"
"12-2011",18.6302738189697,2011,"Dec","CA"
"1-2012",15.1956243515015,2012,"Jan","CA"
"2-2012",10.393627166748,2012,"Feb","CA"
"3-2012",9.32803726196289,2012,"Mar","CA"
"4-2012",9.98826885223389,2012,"Apr","CA"
"5-2012",12.1186933517456,2012,"May","CA"
"6-2012",10.2676649093628,2012,"June","CA"
"7-2012",11.0397653579712,2012,"Jul","CA"
"8-2012",10.8397693634033,2012,"Aug","CA"
"9-2012",11.3016719818115,2012,"Sept","CA"
"10-2012",10.0501928329468,2012,"Oct","CA"
"11-2012",14.0892324447632,2012,"Nov","CA"
"12-2012",15.6705570220947,2012,"Dec","CA"
"1-2013",13.7712831497192,2013,"Jan","CA"
"2-2013",11.5702676773071,2013,"Feb","CA"
"3-2013",13.6165800094604,2013,"Mar","CA"
"4-2013",10.2876195907593,2013,"Apr","CA"
"5-2013",11.4415988922119,2013,"May","CA"
"6-2013",10.0650482177734,2013,"June","CA"
"7-2013",10.2739124298096,2013,"Jul","CA"
"8-2013",10.7888870239258,2013,"Aug","CA"
"9-2013",9.84109687805176,2013,"Sept","CA"
"10-2013",12.7183132171631,2013,"Oct","CA"
"11-2013",11.6230411529541,2013,"Nov","CA"
"12-2013",14.9050664901733,2013,"Dec","CA"
"1-2014",23.9368438720703,2014,"Jan","CA"
"2-2014",13.4161491394043,2014,"Feb","CA"
"3-2014",8.02445602416992,2014,"Mar","CA"
"4-2014",8.0348424911499,2014,"Apr","CA"
"5-2014",8.15307521820068,2014,"May","CA"
"6-2014",10.9378004074097,2014,"June","CA"
"7-2014",10.367696762085,2014,"Jul","CA"
"8-2014",9.96286106109619,2014,"Aug","CA"
"9-2014",10.3122415542603,2014,"Sept","CA"
"10-2014",12.8510665893555,2014,"Oct","CA"
"11-2014",13.689549446106,2014,"Nov","CA"
"12-2014",14.430025100708,2014,"Dec","CA"
"1-2015",18.231237411499,2015,"Jan","CA"
"2-2015",18.0300388336182,2015,"Feb","CA"
"3-2015",11.0796957015991,2015,"Mar","CA"
"4-2015",9.43876075744629,2015,"Apr","CA"
"5-2015",9.73946571350098,2015,"May","CA"
"6-2015",11.0505275726318,2015,"June","CA"
"7-2015",8.76871109008789,2015,"Jul","CA"
"8-2015",11.9025192260742,2015,"Aug","CA"
"9-2015",10.1695423126221,2015,"Sept","CA"
"10-2015",8.93574142456055,2015,"Oct","CA"
"11-2015",9.74119567871094,2015,"Nov","CA"
"12-2015",10.9050197601318,2015,"Dec","CA"
"1-2016",12.2668485641479,2016,"Jan","CA"
"2-2016",11.138557434082,2016,"Feb","CA"
"3-2016",11.3367414474487,2016,"Mar","CA"
"4-2016",9.45344924926758,2016,"Apr","CA"
"5-2016",7.99238443374634,2016,"May","CA"
"6-2016",12.7343950271606,2016,"June","CA"
"7-2016",11.0620250701904,2016,"Jul","CA"
"8-2016",11.1072416305542,2016,"Aug","CA"
"9-2016",10.8093852996826,2016,"Sept","CA"
"10-2016",8.70986175537109,2016,"Oct","CA"
"11-2016",12.6105766296387,2016,"Nov","CA"
"12-2016",15.2064218521118,2016,"Dec","CA"
"1-2017",11.7562265396118,2017,"Jan","CA"
"2-2017",8.45353698730469,2017,"Feb","CA"
"3-2017",10.5921564102173,2017,"Mar","CA"
"4-2017",8.93719959259033,2017,"Apr","CA"
"5-2017",9.88592338562012,2017,"May","CA"
"6-2017",10.8043279647827,2017,"June","CA"
"7-2017",11.9797973632812,2017,"Jul","CA"
"8-2017",12.6564836502075,2017,"Aug","CA"
"9-2017",10.5501070022583,2017,"Sept","CA"
"10-2017",13.3464288711548,2017,"Oct","CA"
"11-2017",11.8131399154663,2017,"Nov","CA"
"12-2017",22.2462310791016,2017,"Dec","CA"
"1-2007",6.57382965087891,2007,"Jan","FL"
"2-2007",11.2159233093262,2007,"Feb","FL"
"3-2007",7.63500165939331,2007,"Mar","FL"
"4-2007",9.18680381774902,2007,"Apr","FL"
"5-2007",14.7940711975098,2007,"May","FL"
"6-2007",9.65359687805176,2007,"June","FL"
"7-2007",9.66536235809326,2007,"Jul","FL"
"8-2007",10.3919134140015,2007,"Aug","FL"
"9-2007",6.11961078643799,2007,"Sept","FL"
"10-2007",5.90598154067993,2007,"Oct","FL"
"11-2007",8.28289127349854,2007,"Nov","FL"
"12-2007",6.78558444976807,2007,"Dec","FL"
"1-2008",9.01241397857666,2008,"Jan","FL"
"2-2008",7.07851123809814,2008,"Feb","FL"
"3-2008",8.61934375762939,2008,"Mar","FL"
"4-2008",8.20934009552002,2008,"Apr","FL"
"5-2008",11.1371088027954,2008,"May","FL"
"6-2008",7.98645305633545,2008,"June","FL"
"7-2008",8.48011875152588,2008,"Jul","FL"
"8-2008",9.84190654754639,2008,"Aug","FL"
"9-2008",6.02522325515747,2008,"Sept","FL"
"10-2008",6.86878681182861,2008,"Oct","FL"
"11-2008",6.94093656539917,2008,"Nov","FL"
"12-2008",6.78565311431885,2008,"Dec","FL"
"1-2009",7.72424077987671,2009,"Jan","FL"
"2-2009",7.54749298095703,2009,"Feb","FL"
"3-2009",6.54269456863403,2009,"Mar","FL"
"4-2009",8.42915344238281,2009,"Apr","FL"
"5-2009",5.33857250213623,2009,"May","FL"
"6-2009",8.86344718933105,2009,"June","FL"
"7-2009",11.0452613830566,2009,"Jul","FL"
"8-2009",7.98078203201294,2009,"Aug","FL"
"9-2009",5.44903373718262,2009,"Sept","FL"
"10-2009",5.79738855361938,2009,"Oct","FL"
"11-2009",6.50430250167847,2009,"Nov","FL"
"12-2009",6.51211833953857,2009,"Dec","FL"
"1-2010",8.56643199920654,2010,"Jan","FL"
"2-2010",7.4294261932373,2010,"Feb","FL"
"3-2010",8.24484539031982,2010,"Mar","FL"
"4-2010",8.03538227081299,2010,"Apr","FL"
"5-2010",7.83489322662354,2010,"May","FL"
"6-2010",7.94883632659912,2010,"June","FL"
"7-2010",7.79305648803711,2010,"Jul","FL"
"8-2010",6.52238845825195,2010,"Aug","FL"
"9-2010",5.84955453872681,2010,"Sept","FL"
"10-2010",8.39050769805908,2010,"Oct","FL"
"11-2010",6.07054138183594,2010,"Nov","FL"
"12-2010",8.53142356872559,2010,"Dec","FL"
"1-2011",8.59974765777588,2011,"Jan","FL"
"2-2011",10.6821689605713,2011,"Feb","FL"
"3-2011",9.57589912414551,2011,"Mar","FL"
"4-2011",9.85538959503174,2011,"Apr","FL"
"5-2011",8.86458206176758,2011,"May","FL"
"6-2011",12.3158340454102,2011,"June","FL"
"7-2011",6.20208692550659,2011,"Jul","FL"
"8-2011",6.15734243392944,2011,"Aug","FL"
"9-2011",4.66037273406982,2011,"Sept","FL"
"10-2011",6.72529983520508,2011,"Oct","FL"
"11-2011",6.476393699646,2011,"Nov","FL"
"12-2011",6.60102462768555,2011,"Dec","FL"
"1-2012",7.56676149368286,2012,"Jan","FL"
"2-2012",6.83922290802002,2012,"Feb","FL"
"3-2012",6.0234580039978,2012,"Mar","FL"
"4-2012",7.36641550064087,2012,"Apr","FL"
"5-2012",7.74848937988281,2012,"May","FL"
"6-2012",7.90300607681274,2012,"June","FL"
"7-2012",9.77258396148682,2012,"Jul","FL"
"8-2012",9.83135795593262,2012,"Aug","FL"
"9-2012",5.61535930633545,2012,"Sept","FL"
"10-2012",7.49584674835205,2012,"Oct","FL"
"11-2012",9.6728630065918,2012,"Nov","FL"
"12-2012",5.56893968582153,2012,"Dec","FL"
"1-2013",6.96589374542236,2013,"Jan","FL"
"2-2013",6.26536273956299,2013,"Feb","FL"
"3-2013",8.37620544433594,2013,"Mar","FL"
"4-2013",6.67321157455444,2013,"Apr","FL"
"5-2013",6.6915488243103,2013,"May","FL"
"6-2013",7.75939750671387,2013,"June","FL"
"7-2013",7.67257022857666,2013,"Jul","FL"
"8-2013",5.84829044342041,2013,"Aug","FL"
"9-2013",6.18800497055054,2013,"Sept","FL"
"10-2013",5.25187015533447,2013,"Oct","FL"
"11-2013",4.59023571014404,2013,"Nov","FL"
"12-2013",4.28803539276123,2013,"Dec","FL"
"1-2014",5.56420660018921,2014,"Jan","FL"
"2-2014",5.91304492950439,2014,"Feb","FL"
"3-2014",6.4828724861145,2014,"Mar","FL"
"4-2014",6.43837928771973,2014,"Apr","FL"
"5-2014",6.5600848197937,2014,"May","FL"
"6-2014",8.23740100860596,2014,"June","FL"
"7-2014",7.68451404571533,2014,"Jul","FL"
"8-2014",7.91117477416992,2014,"Aug","FL"
"9-2014",5.43505859375,2014,"Sept","FL"
"10-2014",5.94604682922363,2014,"Oct","FL"
"11-2014",6.15441513061523,2014,"Nov","FL"
"12-2014",7.28102827072144,2014,"Dec","FL"
"1-2015",6.20293140411377,2015,"Jan","FL"
"2-2015",6.94669818878174,2015,"Feb","FL"
"3-2015",7.22621297836304,2015,"Mar","FL"
"4-2015",7.49081468582153,2015,"Apr","FL"
"5-2015",6.38351058959961,2015,"May","FL"
"6-2015",7.00906944274902,2015,"June","FL"
"7-2015",9.04844951629639,2015,"Jul","FL"
"8-2015",6.61476612091064,2015,"Aug","FL"
"9-2015",6.01178312301636,2015,"Sept","FL"
"10-2015",6.33843946456909,2015,"Oct","FL"
"11-2015",5.2920069694519,2015,"Nov","FL"
"12-2015",5.43601846694946,2015,"Dec","FL"
"1-2016",6.09332656860352,2016,"Jan","FL"
"2-2016",6.95645523071289,2016,"Feb","FL"
"3-2016",8.1985445022583,2016,"Mar","FL"
"4-2016",8.22918701171875,2016,"Apr","FL"
"5-2016",7.38996601104736,2016,"May","FL"
"6-2016",6.84869813919067,2016,"June","FL"
"7-2016",8.85760974884033,2016,"Jul","FL"
"8-2016",7.93798351287842,2016,"Aug","FL"
"9-2016",6.89586734771729,2016,"Sept","FL"
"10-2016",6.66335821151733,2016,"Oct","FL"
"11-2016",8.47155952453613,2016,"Nov","FL"
"12-2016",7.75761222839355,2016,"Dec","FL"
"1-2017",7.33338212966919,2017,"Jan","FL"
"2-2017",8.9224910736084,2017,"Feb","FL"
"3-2017",6.70647478103638,2017,"Mar","FL"
"4-2017",8.36238098144531,2017,"Apr","FL"
"5-2017",9.94280052185059,2017,"May","FL"
"6-2017",6.75815677642822,2017,"June","FL"
"7-2017",7.64342975616455,2017,"Jul","FL"
"8-2017",7.89043092727661,2017,"Aug","FL"
"9-2017",7.98128461837769,2017,"Sept","FL"
"10-2017",9.45871925354004,2017,"Oct","FL"
"11-2017",6.5300350189209,2017,"Nov","FL"
"12-2017",7.60825061798096,2017,"Dec","FL"
"1-2007",4.93151521682739,2007,"Jan","SD"
"2-2007",7.0685076713562,2007,"Feb","SD"
"3-2007",6.56916475296021,2007,"Mar","SD"
"4-2007",6.99327182769775,2007,"Apr","SD"
"5-2007",7.51810693740845,2007,"May","SD"
"6-2007",7.82050561904907,2007,"June","SD"
"7-2007",9.61684513092041,2007,"Jul","SD"
"8-2007",9.8001184463501,2007,"Aug","SD"
"9-2007",6.79769134521484,2007,"Sept","SD"
"10-2007",6.73231649398804,2007,"Oct","SD"
"11-2007",5.27206420898438,2007,"Nov","SD"
"12-2007",6.57180547714233,2007,"Dec","SD"
"1-2008",5.84327268600464,2008,"Jan","SD"
"2-2008",7.81816434860229,2008,"Feb","SD"
"3-2008",6.22407531738281,2008,"Mar","SD"
"4-2008",8.51843166351318,2008,"Apr","SD"
"5-2008",6.0269660949707,2008,"May","SD"
